ccid,genetype
CHS 1185,Chemoreceptor
CHS 10010,neuropeptide muants
CHS 10025,neuropeptide muants
CHS 10046,neuropeptide muants
CHS 10057,neuropeptide muants
CHS 10062,neuropeptide muants
CHS 10073,neuropeptide muants
CHS 10081,neuropeptide muants
CHS 10118,neuropeptide muants
CHS 10080,neuropeptide muants
CHS 10009,neuropeptide muants
CHS 10032,neuropeptide muants
CHS 10085,neuropeptide muants
CHS 10034,neuropeptide muants
CHS 10033,neuropeptide muants
CHS 10006,neuropeptide muants
CHS 10063,neuropeptide muants
CHS 10011,neuropeptide muants
CHS 10148,neuropeptide muants
CHS 10013,neuropeptide muants
CHS 10084,neuropeptide muants
CHS 10103,neuropeptide muants
CHS 10040,neuropeptide muants
CHS 10065,neuropeptide muants
CHS 10110,neuropeptide muants
CHS 10089,neuropeptide muants
CHS 10092,neuropeptide muants
CHS 10109,neuropeptide muants
CHS 10093,neuropeptide muants
CHS 10149,neuropeptide muants
CHS 10088,neuropeptide muants
CHS 10119,neuropeptide muants
CHS 10091,neuropeptide muants
CHS 10102,neuropeptide muants
CHS 10111,neuropeptide muants
CHS 10095,neuropeptide muants
CHS 10183,neuropeptide muants
